3월22일,3시,26분,33초
한글,영문,현재가,전일대비,거래량
비트코인,BTC/KRW,"7,702,000",-2.30%,109억
이더리움,ETH/KRW,"164,500",-3.35%,39억
비트코인 HEDGE,BTCHG/KRW,"2,260,000",5.71%,13억
이오스,EOS/KRW,"2,769",-3.35%,9억
리플,XRP/KRW,194.5,-4.14%,7억
비트코인 캐시,BCH/KRW,"268,500",-4.28%,5억
이더리움 HEDGE,ETHHG/KRW,"2,849,000",5.91%,4억
리플 HEDGE,XRPHG/KRW,"9,086,000",6.06%,1억
이오스 HEDGE,EOSHG/KRW,"3,780,000",6.63%,1억
스텔라 루멘,XLM/KRW,49.29,-3.82%,1억
비트코인 캐시 HEDGE,BCHHG/KRW,"5,877,000",7.07%,"5,763만"
헌트,HUNT/KRW,7.550,-5.27%,"2,419만"
퀀텀,QTUM/KRW,"1,749",9.59%,"1,498만"
라이트코인,LTC/KRW,"47,540",-1.78%,"1,159만"
이오스트,IOST/KRW,4.205,5.13%,533만
스팀,STEEM/KRW,249.8,-12.60%,231만
모비우스,MOBI/KRW,5.660,20.43%,224만
스테이터스 네트워크,SNT/KRW,17.99,-0.66%,184만
테라 KRT,KRT/KRW,0.9915,-0.65%,170만
휴먼스케이프,HUM/KRW,6.275,-8.46%,166만
홀로,HOT/KRW,0.3705,-10.74%,147만
룸 네트워크,LOOM/KRW,19.97,16.78%,138만
아이오텍스,IOTX/KRW,3.495,20.85%,106만
브이엔엑스엘유,VNXLU/KRW,338.5,-0.18%,99만
엔진코인,ENJ/KRW,104.7,9.18%,95만
골렘,GNT/KRW,36.70,1.38%,94만
메이커,MKR/KRW,"654,500",30.90%,94만
베이직어텐션토큰,BAT/KRW,169.1,-4.89%,73만
시빅,CVC/KRW,25.20,9.52%,62만
모스코인,MOC/KRW,20.50,-6.78%,59만
오미세고,OMG/KRW,719.0,0.84%,51만
제트캐시,ZEC/KRW,"41,450",-7.89%,46만
엘프,ELF/KRW,74.95,-11.20%,45만
신디케이터,CND/KRW,3.911,-20.18%,44만
루나,LUNA/KRW,180.0,-13.38%,41만
림포,LYM/KRW,2.089,-5.26%,40만
아르고,AERGO/KRW,28.99,0%,26만
이니그마,ENG/KRW,118.1,0.08%,25만
카이버 네트워크,KNC/KRW,551.0,-25.39%,16만
아라곤,ANT/KRW,"1,400",-3.38%,14만
어거,REP/KRW,"8,100",-1.22%,13만
제로엑스,ZRX/KRW,220.0,8.37%,8만
퀀트스탬프,QSP/KRW,8.500,-36.57%,5만
AI네트워크,AIN/KRW,28.10,0%,5만
오리진 토큰,OGN/KRW,300.0,5.63%,3만
리퀘스트 네트워크,REQ/KRW,12.21,47.11%,3만
노시스,GNO/KRW,"16,600",392.58%,3만
스팀달러,SBD/KRW,"1,399",-0.07%,3만
크립토닷컴 체인,CRO/KRW,54.50,34.53%,2만
캐시,QASH/KRW,51.90,21.97%,1만
크립토닷컴,MCO/KRW,"6,785",-0.07%,1만
질리카,ZIL/KRW,5.775,8.65%,"5,961"
